id,Nama,Nomor Whatssap,Jenis kelamin,Pendidikan terakhir,Lama pengalaman (tahun),Jumlah lansia pernah dirawat,Umur,Keahlian,Mengurus rumah,Membantu pergerakan dan aktivitas fisik,Membantu konsumsi obat dan makanan,Mengecek kesehatan rutin secara mandiri,Mendampingi dan menjaga,Memasangkan alat medis khusus,Memeriksakan rutin ke dokter,Indonesia,Inggris,Jawa,Sunda,Melayu,Kota,Gaji
995,Erskine Pardy,+62 892-1775-40843,1,4,1,0,37,0.29,0,0,1,1,0,1,1,0,0,0,0,1,KABUPATEN KONAWE SELATAN,1630000
996,Ernestus Sandercock,+62 892-2747-98130,1,5,9,8,30,0.86,0,0,1,1,0,0,1,0,0,1,1,0,KABUPATEN BANYUWANGI,1760000
997,Merill Stackbridge,+62 892-304-820,1,5,9,4,34,0.57,0,1,0,1,1,0,1,1,0,1,1,0,KOTA TUAL,1130000
998,Odo Tice,+62 892-729-382,1,5,0,0,22,0.29,0,1,0,1,1,1,1,1,0,0,0,0,KABUPATEN SORONG SELATAN,1730000
999,Bradly Labbey,+62 893-1369-214,1,5,0,0,22,0.29,1,1,0,0,0,1,1,0,1,0,1,0,KABUPATEN BANGKA SELATAN,1120000
1000,Hartwell Burkhill,+62 893-234-222,1,5,2,0,22,0.14,0,1,1,1,1,1,1,1,1,1,0,1,KABUPATEN LAMANDAU,740000
1001,Vladamir China,+62 895-2716-9777,1,5,4,0,25,0,1,0,0,1,1,0,0,0,0,0,1,1,KABUPATEN KEPULAUAN SULA,1520000
1002,Mauricio Monnoyer,+62 897-4803-319,1,3,9,2,36,0,1,1,1,1,1,0,1,1,1,1,0,0,KABUPATEN MINAHASA,1090000
1003,Kenyon Rome,+62 899-1080-806,1,5,2,1,25,0.57,1,0,0,1,0,1,0,1,0,0,0,1,KABUPATEN GIANYAR,1900000
1004,Zackariah Barden,+62 899-1647-101,1,3,1,0,34,0.57,1,1,1,0,0,1,1,1,0,1,0,1,KABUPATEN ROTE NDAO,510000
1005,Vito Sweett,+62 899-3104-449,1,3,4,2,29,0.43,0,1,0,0,1,1,0,1,0,1,1,1,KABUPATEN HULU SUNGAI SELATAN,970000
1006,Salvidor De Ath,+62 899-949-366,1,2,1,1,26,0.14,0,0,0,1,0,0,1,0,1,0,0,0,KABUPATEN DEIYAI,1260000
1007,Christoffer Pateman,+62 875-9571-68481,1,3,7,4,27,0.29,1,0,0,1,0,0,1,1,1,1,1,1,KABUPATEN MAMBERAMO RAYA,1160000
1008,Gilberto Collingridge,+62 868-4585-52364,1,4,2,1,23,0.14,0,0,1,1,1,0,0,1,0,0,0,0,KABUPATEN MAGETAN,530000
1009,Caesar Dearle,+62 876-5579-148,1,5,2,0,26,0.71,1,0,1,0,0,1,1,0,0,0,1,1,KABUPATEN LANDAK,1390000
1010,Chance Tomaschke,+62 863-7184-613,1,5,10,8,31,1,1,1,0,1,0,1,1,1,1,0,0,1,KOTA MAKASSAR,1270000
1011,Wallie Lynock,+62 889-398-070,1,5,3,0,23,0.43,0,1,0,0,0,0,1,1,1,1,0,0,KABUPATEN CIAMIS,1300000
1012,Geoffrey Canet,+62 863-5203-62363,1,4,5,0,25,0.71,1,0,1,1,1,1,1,0,0,0,0,1,KABUPATEN ACEH TENGAH,1780000
1013,Reinald Filipczynski,+62 865-7264-0920,1,3,1,1,25,0.57,1,0,0,1,0,1,0,1,0,0,0,1,KABUPATEN MERAUKE,1960000
1014,Eal Colenutt,+62 862-5681-5884,1,5,0,0,33,0.43,1,0,1,1,0,0,1,0,1,0,0,0,KABUPATEN KUNINGAN,1400000
1015,Siffre Heard,+62 818-4692-69229,1,5,16,6,38,0.29,0,0,0,0,0,1,0,0,1,1,1,0,KABUPATEN ACEH TAMIANG,810000
1016,Wells Cardus,+62 881-2818-3698,1,4,8,2,33,0.43,0,0,0,1,0,0,0,0,1,1,0,0,KABUPATEN CILACAP,1620000
1017,Townie Gostage,+62 866-9162-281,1,5,9,1,32,0.29,0,1,0,0,0,1,1,0,0,1,1,0,KOTA TARAKAN,1670000
1018,Feodor Amberg,+62 835-962-041,1,3,6,5,36,0,0,0,1,0,1,0,0,1,0,0,1,0,KABUPATEN FLORES TIMUR,1910000
1019,Arlin Leipnik,+62 856-574-574,1,3,0,0,35,0.43,0,1,1,0,0,1,1,0,1,1,0,1,KABUPATEN PUNCAK JAYA,930000
1020,Bron Anthill,+62 852-431-105,1,5,6,2,32,0.14,1,1,1,1,1,1,0,0,1,0,1,1,KABUPATEN NAGEKEO,550000
1021,Christos Burgin,+62 812-320-081,1,3,0,0,26,0,1,1,0,1,1,0,0,1,0,1,1,0,KABUPATEN TANJUNG JABUNG BARAT,1630000
1022,Gannon Clamp,+62 871-2158-07433,1,5,14,5,36,0.86,0,1,0,1,0,1,1,1,1,1,1,0,KOTA SOLOK,2000000
1023,Wat Tomkiss,+62 855-7992-8631,1,5,4,2,25,0.43,0,1,1,1,1,1,0,0,0,1,1,1,KABUPATEN LINGGA,1410000
1024,Levon Littlefield,+62 815-7426-88391,1,5,15,14,35,0.71,0,0,1,1,0,0,0,1,0,1,1,0,KABUPATEN BARITO SELATAN,1460000
1025,Hilary Slate,+62 838-8780-4786,1,5,6,6,26,1,1,1,0,1,0,0,0,0,1,1,1,1,KABUPATEN OGAN KOMERING ULU,1720000
1026,Samuel Ioan,+62 811-900-379,1,3,1,0,21,0.86,1,1,0,0,0,1,1,0,1,0,1,1,KABUPATEN SEMARANG,1030000
1027,Valentino Van Dalen,+62 852-5068-76622,1,5,2,0,22,0,1,0,0,1,0,1,1,1,0,0,1,1,KABUPATEN SOLOK SELATAN,1270000
1028,Page Newell,+62 831-6858-047,1,3,10,2,33,0.57,1,1,1,0,0,1,1,0,1,0,0,1,KABUPATEN PADANG LAWAS UTARA,710000
1029,Johny Nichol,+62 868-4244-90314,1,4,3,0,31,0,0,1,0,1,1,1,1,1,0,1,1,0,KABUPATEN NGADA,850000
1030,Tad Cod,+62 839-5058-7145,1,5,2,0,29,0.43,1,0,0,1,1,0,0,0,1,0,0,0,KABUPATEN KENDAL,1730000
1031,Bondy Duckham,+62 855-1933-754,1,2,0,0,36,0,0,0,1,0,0,1,0,1,1,0,1,1,KABUPATEN TOBA,680000
1032,Mohandis Fowlestone,+62 872-0554-837,1,4,5,4,26,1,0,0,0,1,0,1,1,1,0,0,0,0,KABUPATEN TAPANULI SELATAN,1730000
1033,Waring Duplain,+62 887-1830-30654,1,5,2,1,23,1,1,0,0,1,0,0,1,0,0,0,0,0,KABUPATEN BANJAR,1520000
1034,Nathaniel Rosone,+62 883-3825-04164,1,5,4,3,27,0,0,0,1,1,0,1,0,0,0,0,1,1,KOTA TARAKAN,610000
1035,Kingsly Leadbitter,+62 854-9073-891,1,3,3,0,23,0.71,0,1,0,1,0,1,0,0,0,0,0,1,KABUPATEN SLEMAN,1730000
1036,Charles Fackney,+62 867-0280-53570,1,5,9,7,30,1,0,0,1,1,0,0,1,1,1,1,1,1,KABUPATEN TANJUNG JABUNG TIMUR,580000
1037,Tuckie Hegg,+62 868-0711-46548,1,3,6,1,34,1,1,1,1,1,1,0,1,1,1,1,1,1,KABUPATEN REJANG LEBONG,1120000
1038,Cordie Greenaway,+62 823-2961-9926,1,5,8,4,34,0,1,0,0,0,0,1,0,1,0,0,0,1,KABUPATEN BUOL,1600000
1039,Antoine Chue,+62 888-4945-511,1,3,12,3,37,0.29,0,1,1,0,1,0,1,0,0,0,1,0,KABUPATEN GORONTALO UTARA,710000
1040,Henderson Overington,+62 870-134-810,1,5,16,3,39,0,0,0,1,0,0,1,0,1,0,1,1,0,KABUPATEN KOLAKA,1960000
1041,Cass Trangmar,+62 885-9353-94811,1,2,5,1,31,0.14,1,0,1,1,1,1,0,1,0,1,0,0,KABUPATEN OGAN KOMERING ILIR,550000
1042,Val Struys,+62 864-1067-9905,1,2,4,4,25,0.29,1,0,1,1,0,0,1,1,0,0,1,1,KABUPATEN BULUNGAN,1160000
1043,Verge Farbrace,+62 851-010-888,1,2,1,0,31,0.86,1,1,1,0,0,1,1,1,1,0,1,0,KABUPATEN MAMUJU,950000
1044,Jason Lorriman,+62 832-718-132,1,3,10,5,37,1,0,1,1,0,1,0,1,0,0,1,1,1,KABUPATEN SIDOARJO,1300000
1045,Shannan Lomasney,+62 831-2402-353,1,5,0,0,29,0.14,1,1,0,0,0,0,1,0,0,0,1,1,KABUPATEN TABALONG,960000
1046,Sergeant Bison,+62 878-9727-6047,1,5,4,0,34,0.57,0,0,1,1,0,0,1,1,1,1,0,1,KABUPATEN LANNY JAYA,1590000
1047,Lancelot Kohter,+62 820-0127-1538,1,3,11,7,37,0.71,1,1,1,1,0,1,1,0,0,1,1,0,KABUPATEN MANGGARAI,880000
1048,Regen Itscowicz,+62 815-1544-38832,1,3,0,0,21,0.86,1,1,0,0,1,1,0,1,0,1,1,0,KABUPATEN MINAHASA TENGGARA,930000
1049,Haleigh Doore,+62 898-3639-389,1,2,12,7,39,0,0,1,0,1,0,0,1,0,1,1,1,0,KABUPATEN PENUKAL ABAB LEMATANG ILIR,1380000
1050,Arie Rumgay,+62 850-3491-457,1,5,8,4,29,0.57,1,0,0,1,0,0,1,0,0,1,0,0,KABUPATEN JENEPONTO,1130000
1051,Stanton Pritty,+62 827-4585-7056,1,3,1,1,24,0.14,1,1,0,0,1,0,0,1,1,0,1,1,KABUPATEN ROKAN HULU,1660000
1052,Christoffer Spadari,+62 898-0397-48548,1,2,0,0,22,0.86,0,0,0,0,1,1,0,0,1,1,1,0,KABUPATEN BOLAANG MONGONDOW,1600000
1053,Flin Dawtry,+62 817-1523-110,1,3,2,0,22,0.71,1,1,0,0,0,0,0,0,1,1,0,0,KABUPATEN CIANJUR,910000
1054,Karl Claire,+62 899-1283-55119,1,5,0,0,33,0.57,0,0,0,0,1,1,1,0,1,1,1,0,KOTA SUKABUPATENUMI,520000
1055,Fabian Roderigo,+62 830-2512-12087,1,5,4,4,26,0.71,0,1,1,1,1,0,0,0,0,0,1,0,KABUPATEN SINJAI,1170000
1056,Mozes Haet,+62 858-2272-6039,1,5,0,0,36,1,0,0,0,1,1,0,1,1,0,1,1,0,KABUPATEN PAMEKASAN,1510000
1057,Andres Swapp,+62 896-8564-48653,1,3,3,2,28,0.57,1,1,0,0,0,0,1,1,1,1,0,0,KABUPATEN ALOR,1420000
1058,Pepe Braidon,+62 889-419-999,1,3,1,1,27,0.86,1,1,1,1,1,1,1,1,0,0,1,0,KOTA SURAKARTA,870000
1059,Beck Wyndham,+62 829-8535-37057,1,5,4,1,25,1,0,0,0,1,0,1,0,1,1,0,0,1,KABUPATEN LABUHANBATU UTARA,1740000
1060,Axel Hansen,+62 898-3555-414,1,2,2,2,25,0,1,1,0,1,0,1,0,0,0,1,0,0,KOTA LHOKSEUMAWE,1990000
1061,Zed Muzzullo,+62 811-7094-08859,1,2,3,0,35,1,1,0,1,0,1,1,0,1,1,0,0,0,KABUPATEN MUNA,810000
1062,Fairleigh Housby,+62 824-6843-774,1,3,18,6,39,1,1,0,0,1,1,0,0,0,0,0,1,1,KABUPATEN INDRAGIRI HILIR,1820000
1063,Renard Maes,+62 883-845-546,1,5,13,2,34,0.29,0,1,1,1,1,1,1,0,1,1,1,1,KABUPATEN KARANGASEM,1170000
1064,Baillie Vizor,+62 828-6317-487,1,5,4,1,24,0.29,1,1,0,0,1,1,0,1,0,1,0,1,KABUPATEN TANA TIDUNG,920000
1065,Waiter Larkin,+62 839-6311-377,1,3,0,0,29,0.14,0,1,0,1,0,0,1,0,0,0,0,1,KABUPATEN BARITO SELATAN,1000000
1066,Ermanno Sandal,+62 878-277-206,1,2,8,2,28,0,1,0,1,0,1,0,0,1,0,0,1,1,KABUPATEN TELUK WONDAMA,1020000
1067,Lester Cholton,+62 814-732-587,1,3,1,0,21,1,0,1,1,0,0,0,1,0,1,0,1,0,KOTA TANJUNG PINANG,1800000
1068,Allister Chastand,+62 873-4419-0035,1,5,1,1,23,0.86,0,1,1,1,1,0,0,1,0,0,1,0,KABUPATEN HULU SUNGAI SELATAN,1960000
1069,Cully Lonie,+62 817-3907-965,1,3,0,0,36,0.71,1,0,1,0,0,1,0,0,1,1,0,1,KABUPATEN MALUKU TENGGARA,620000
1070,Bartholomeo Carradice,+62 880-2748-93100,1,3,0,0,22,1,0,0,1,0,0,1,0,1,0,1,1,0,KABUPATEN BOYOLALI,1930000
1071,Nikolas Balaison,+62 834-8499-90500,1,3,0,0,21,0,1,0,0,1,0,1,0,0,0,1,0,0,KABUPATEN JOMBANG,590000
1072,Mile Stebbin,+62 867-351-492,1,5,3,0,27,0.57,1,1,0,0,0,1,0,0,0,1,0,1,KABUPATEN MURUNG RAYA,1610000
1073,Gradey MacKegg,+62 826-888-779,1,2,7,0,39,0.71,1,0,0,0,0,0,0,1,1,1,0,0,KABUPATEN BALANGAN,1410000
1074,Jamill O'Haire,+62 811-4161-520,1,5,15,4,35,0.86,0,1,0,1,0,1,0,0,0,0,1,0,KABUPATEN LANDAK,780000
1075,Sean Antonazzi,+62 813-6115-602,1,3,0,0,23,0.43,0,1,1,0,0,1,1,1,1,1,1,0,KABUPATEN ADM. KEP. SERIBU,930000
1076,Virgil Goodger,+62 871-9744-2993,1,3,2,1,27,0.71,0,1,1,0,0,0,1,1,1,0,0,1,KOTA SALATIGA,830000
1077,Yehudi Corradi,+62 856-4320-19102,1,5,11,10,33,0,0,0,0,0,0,1,0,0,0,0,1,0,KABUPATEN MAGETAN,1220000
1078,Arnaldo Gorriessen,+62 876-5352-035,1,5,10,10,37,0.86,0,1,0,1,0,0,1,1,1,0,0,1,KABUPATEN KEPULAUAN SELAYAR,1760000
1079,Foss Povey,+62 873-7679-9311,1,5,5,2,26,1,1,1,1,1,1,1,1,1,0,0,0,1,KABUPATEN DHARMASRAYA,1150000
1080,Tabb Marchbank,+62 817-137-819,1,3,3,2,27,0.43,0,0,1,0,0,1,0,0,0,1,0,1,KABUPATEN SANGGAU,1630000
1081,Verge Beade,+62 891-5265-642,1,3,10,6,30,0,0,1,0,1,0,1,0,1,0,0,0,0,KABUPATEN BANGKA,1540000
1082,Whittaker Showering,+62 855-6824-889,1,2,0,0,22,0,1,1,1,1,1,0,0,1,1,0,1,1,KABUPATEN LAMPUNG TENGAH,680000
1083,Aleksandr Densey,+62 850-4772-5587,1,5,3,0,36,0.71,1,0,1,0,1,0,0,1,1,0,1,1,KABUPATEN SAMBAS,1120000
1084,Rockwell Claris,+62 819-9672-109,1,5,5,2,29,0.29,1,1,0,0,1,1,0,0,0,0,1,0,KABUPATEN KAPUAS,570000
1085,Guss Seefeldt,+62 853-2000-51055,1,2,9,5,30,0.86,0,1,0,1,0,1,0,0,0,1,0,1,KABUPATEN SUMBA TIMUR,600000
1086,Amerigo Pulman,+62 822-1061-7419,1,5,13,3,35,0.14,1,1,0,1,0,1,0,1,1,0,0,0,KABUPATEN PASANGKAYU,910000
1087,Cristian Swyndley,+62 816-771-605,1,5,1,0,25,0.86,0,0,0,1,0,1,1,1,0,1,0,1,KABUPATEN PONOROGO,1820000
1088,Abbe Bonnette,+62 850-757-649,1,5,5,1,30,0.14,0,1,1,0,0,1,0,1,0,1,0,0,KABUPATEN PURBALINGGA,1310000
1089,Archibald Codd,+62 868-366-669,1,5,3,3,39,1,0,0,1,1,0,1,0,1,1,0,1,0,KABUPATEN MALAKA,1790000
1090,Giles Matschuk,+62 838-0973-2131,1,3,2,0,26,0.14,1,1,0,1,0,0,0,0,0,0,0,1,KABUPATEN WAJO,1960000
1091,West Darington,+62 875-2799-199,1,3,7,2,33,0.86,1,0,1,0,0,1,1,1,0,0,0,0,KOTA SABANG,1790000
1092,Wendall Mulder,+62 880-6902-2383,1,2,1,0,24,0.57,1,0,0,1,1,1,1,0,0,0,1,0,KABUPATEN MANOKWARI,1500000
1093,Eberto Kenningham,+62 855-6079-828,1,5,17,17,38,0.14,1,0,1,1,0,1,1,0,0,0,0,1,KABUPATEN HALMAHERA TENGAH,680000
1094,Gaby Montrose,+62 855-8417-858,1,3,7,5,28,0.86,0,0,0,1,1,0,0,1,1,0,1,1,KABUPATEN TEGAL,520000
1095,Hermon Glazzard,+62 871-2195-3887,1,5,3,0,31,1,0,1,0,0,1,0,0,1,0,0,0,0,KABUPATEN BULUNGAN,580000
1096,Farrel Twizell,+62 879-519-626,1,5,4,0,25,0,1,0,1,1,1,0,1,1,1,1,1,1,KABUPATEN ROKAN HULU,1270000
1097,Garreth Mallia,+62 881-920-374,1,2,4,2,29,0.57,0,0,0,0,0,1,0,1,0,0,0,0,KOTA BONTANG,1490000
1098,Fred Barenskie,+62 852-1102-33045,1,5,1,0,34,0.86,0,0,0,1,1,1,0,0,1,1,0,1,KABUPATEN PIDIE,970000
1099,Jase Deeks,+62 822-1738-89512,1,3,1,1,39,0.43,1,1,1,0,0,0,1,1,1,0,1,1,KOTA SOLOK,1270000
1100,Codi Sampson,+62 884-2858-71264,1,3,3,2,25,0.29,0,0,1,0,1,1,0,0,0,0,1,1,KOTA BITUNG,820000
1101,Stinky Hens,+62 897-0407-997,1,5,3,3,25,0.71,1,0,1,0,1,1,0,0,0,0,0,0,KABUPATEN KLATEN,1950000
1102,Daryl True,+62 829-3455-8719,1,5,3,2,34,0,0,0,1,0,0,0,0,1,1,1,0,1,KABUPATEN SIAK,1100000
1103,Bram Winkell,+62 818-880-821,1,5,2,1,26,1,1,1,1,0,0,0,1,0,1,0,1,0,KABUPATEN PULANG PISAU,1040000
1104,Kelby Acreman,+62 882-8865-8101,1,5,2,0,38,1,0,1,1,1,0,0,0,1,1,1,0,0,KABUPATEN BUTON SELATAN,1650000
1105,Freedman Seeviour,+62 877-4999-237,1,3,1,0,23,0,1,0,0,1,1,0,0,0,0,0,0,1,KABUPATEN MUNA,740000
1106,Neale Curson,+62 852-2821-0926,1,5,2,0,26,0.43,1,1,0,1,1,1,1,1,1,0,0,1,KABUPATEN TANJUNG JABUNG TIMUR,1820000
1107,Ber Pleager,+62 818-6341-80814,1,5,5,1,29,1,0,1,0,0,1,1,1,0,1,0,1,1,KABUPATEN LOMBOK BARAT,1330000
1108,Huey Kerne,+62 838-2496-88870,1,5,7,7,32,1,0,1,1,1,0,1,1,1,1,0,0,1,KABUPATEN MANOKWARI,1230000
1109,Duane Antonetti,+62 815-2403-6357,1,3,15,9,38,1,0,0,1,0,0,1,1,0,1,0,1,1,KOTA GORONTALO,1990000
1110,Jule Ranscomb,+62 820-2616-9734,1,5,3,2,36,0.43,1,0,0,0,0,0,1,0,1,0,1,0,KABUPATEN KONAWE SELATAN,1300000
1111,Jerad McTrustam,+62 888-1260-336,1,5,2,2,26,1,1,1,0,0,1,0,0,1,0,0,0,1,KABUPATEN SAMBAS,1600000
1112,Gannie Leete,+62 875-3683-7529,1,3,2,0,24,0.29,0,0,1,1,1,0,0,1,1,0,1,1,KABUPATEN MAYBRAT,1180000
1113,Hieronymus Gernier,+62 873-1484-85831,1,5,2,0,28,0,0,1,0,0,1,0,1,1,0,1,1,1,KOTA TARAKAN,1850000
1114,Andrey Pampling,+62 834-8980-41026,1,3,9,6,32,0.43,1,1,1,0,0,1,0,1,0,0,0,1,KABUPATEN FAK FAK,760000
1115,Simmonds Grzesiak,+62 829-4213-795,1,3,0,0,22,1,0,0,0,1,1,0,1,0,1,0,0,0,KOTA SAWAHLUNTO,1760000
1116,Brantley Gilderoy,+62 868-0221-1956,1,2,2,2,23,1,0,1,1,0,0,1,0,1,0,1,0,1,KOTA KOTAMOBAGU,1170000
1117,Bond Oxbe,+62 863-5461-73755,1,5,1,0,21,0.57,0,1,0,1,1,1,0,1,1,1,1,0,KABUPATEN KEEROM,1610000
1118,Desi Friedank,+62 857-7238-343,1,5,5,1,27,0.71,0,1,0,1,0,1,1,1,1,0,0,1,KABUPATEN PURWOREJO,1790000
1119,Chaunce Glaister,+62 811-7804-50261,1,2,1,0,31,0.43,1,0,1,1,1,0,0,0,1,0,0,1,KABUPATEN KEPULAUAN SANGIHE,700000
1120,Marshall O'Hearn,+62 839-674-697,1,5,0,0,29,0.57,0,1,0,0,0,1,1,1,1,0,1,1,KOTA LUBUK LINGGAU,1870000
1121,Artemus Gillham,+62 839-1170-527,1,2,3,2,36,0.71,1,0,0,1,0,0,0,1,0,0,1,1,KOTA SIBOLGA,1850000
1122,Antone Stainland,+62 869-2701-883,1,4,0,0,21,0.86,1,0,0,1,0,1,0,0,1,0,1,1,KABUPATEN WAJO,1060000
1123,Denys Pennetta,+62 837-2521-67448,1,3,1,0,22,1,1,0,0,1,1,0,0,0,1,0,0,0,KABUPATEN WONOSOBO,1840000
1124,Flem De Courtney,+62 837-2610-15285,1,5,5,4,27,0.43,1,1,0,1,1,0,0,1,0,1,1,0,KOTA PAYAKUMBUH,1200000
1125,Xever Iddens,+62 820-4899-49799,1,5,10,0,37,0.29,1,0,0,0,0,0,1,1,0,0,0,0,KOTA TUAL,1780000
1126,Dionisio Inglesent,+62 868-4775-90457,1,3,1,1,21,1,1,1,0,0,0,1,0,1,0,0,0,1,KABUPATEN JEPARA,1800000
1127,Drew Plumridege,+62 824-6318-7488,1,5,3,2,24,0.29,0,1,1,0,0,1,1,0,1,0,1,0,KOTA BONTANG,1860000
1128,Phillip Mc Combe,+62 820-4943-8666,1,5,0,0,22,0.29,1,0,0,0,1,0,0,1,1,1,0,0,KABUPATEN REJANG LEBONG,1900000
1129,Isa Becom,+62 873-342-227,1,3,11,3,35,0.29,0,0,0,0,1,1,1,1,1,1,0,1,KABUPATEN TANA TIDUNG,1720000
1130,Mischa Shearsby,+62 870-0891-4603,1,5,2,1,33,0.43,1,0,0,1,1,0,0,1,0,0,0,0,KABUPATEN MURUNG RAYA,1460000
1131,Lorens Allner,+62 857-5551-346,1,3,4,1,38,0.29,0,0,1,1,0,0,0,1,1,1,1,1,KABUPATEN ROKAN HULU,830000
1132,Royce Stodhart,+62 871-7664-11156,1,5,1,0,38,0.29,1,0,1,1,1,0,0,1,1,1,1,0,KOTA JAYAPURA,870000
1133,Ax Gledhill,+62 871-4019-7499,1,4,0,0,21,0.57,1,1,1,0,0,1,0,0,0,1,1,1,KOTA KEDIRI,1930000
1134,Enrico Jonson,+62 869-1614-568,1,5,5,0,29,1,1,0,0,0,0,1,0,1,1,1,0,1,KABUPATEN FLORES TIMUR,930000
1135,Justus Duesbury,+62 865-0018-4957,1,5,3,1,26,0.29,0,0,1,0,1,0,1,1,1,1,1,0,KABUPATEN BANJARNEGARA,1790000
1136,Itch Baskerville,+62 823-115-561,1,5,3,0,23,0.29,1,0,1,0,0,0,1,1,1,1,0,1,KABUPATEN PENAJAM PASER UTARA,1050000
1137,Bill McFarland,+62 894-351-584,1,5,5,1,30,1,0,0,0,0,1,1,0,0,0,1,0,0,KABUPATEN SELUMA,1960000
1138,Rusty Duckhouse,+62 889-2686-41741,1,5,0,0,36,0,0,1,1,1,0,0,0,1,1,0,0,1,KABUPATEN TORAJA UTARA,1760000
1139,Sutton Brabbs,+62 872-2070-856,1,5,0,0,32,0.14,0,1,1,1,1,1,1,0,1,0,1,0,KABUPATEN BARITO TIMUR,1640000
1140,Josh Flade,+62 853-3000-0639,1,5,15,12,38,0.71,1,1,1,0,1,1,0,0,0,1,1,1,KABUPATEN MERANGIN,1990000
1141,Sandro Spirritt,+62 854-0151-004,1,4,15,8,38,0.86,1,1,1,0,0,0,0,1,1,1,1,0,KOTA BATU,1210000
1142,Tannie Narey,+62 883-2492-590,1,5,9,0,30,0.29,1,1,0,0,1,0,1,1,0,1,0,0,KOTA MEDAN,1130000
1143,Nefen Linden,+62 834-350-899,1,2,7,1,32,0.71,1,0,0,1,1,1,1,1,0,1,1,1,KOTA GUNUNGSITOLI,1750000
1144,Aron Poulston,+62 819-457-852,1,4,11,7,33,0.86,1,1,1,0,1,0,0,1,1,0,0,1,KABUPATEN BUTON TENGAH,530000
1145,Ashlin Sinnat,+62 867-1487-52604,1,3,8,0,29,0.57,0,1,1,1,1,1,1,1,1,0,0,0,KABUPATEN PESAWARAN,980000
1146,Brion Pursehouse,+62 864-8134-003,1,3,2,0,26,0.43,1,1,0,0,1,0,0,1,1,0,1,1,KABUPATEN HALMAHERA TENGAH,1480000
1147,Stanwood Mourbey,+62 854-795-621,1,5,14,6,36,0.86,1,0,1,0,1,0,1,0,1,0,1,1,KABUPATEN MAYBRAT,1440000
1148,Joshua Tremoille,+62 837-8298-58380,1,5,5,1,25,0.71,0,0,1,1,1,1,0,0,1,0,1,0,KABUPATEN ENDE,1910000
1149,Zedekiah Preshaw,+62 821-6738-1134,1,5,0,0,21,1,0,0,1,1,0,0,0,0,1,0,1,1,KABUPATEN SUKOHARJO,980000
1150,Jayson Adrienne,+62 881-1123-83728,1,3,10,0,30,0.86,1,1,0,1,0,0,1,0,0,0,1,1,KOTA BOGOR,1150000
1151,Stevie Brunger,+62 883-6251-1907,1,5,2,0,25,0.71,1,1,0,0,0,0,1,1,1,0,0,0,KOTA SINGKAWANG,1650000
1152,Daren Labeuil,+62 878-5178-5529,1,3,0,0,23,0.29,0,0,0,0,1,1,0,1,1,0,1,0,KOTA AMBON,1930000
1153,Udell Gleed,+62 835-5786-2309,1,5,4,3,27,0.14,0,1,1,1,0,1,0,1,0,1,0,0,KABUPATEN LUWU,1410000
1154,Buckie Beldam,+62 865-257-658,1,5,4,2,33,0.29,1,0,1,0,1,0,0,1,1,1,0,0,KABUPATEN SOLOK SELATAN,1720000
1155,Gustavus Pocock,+62 893-654-745,1,5,6,4,34,0.29,1,0,0,1,1,1,0,1,1,1,0,1,KOTA GUNUNGSITOLI,1480000
1156,Ambrosius Luscombe,+62 835-6272-82315,1,2,17,15,39,0.57,0,1,1,0,0,1,0,0,0,1,0,1,KABUPATEN LOMBOK UTARA,1000000
1157,Bud Lichfield,+62 881-3800-064,1,5,5,4,36,1,1,1,0,0,1,1,1,0,0,0,1,1,KABUPATEN ACEH TENGGARA,1550000
1158,Tailor Heintz,+62 881-1938-946,1,3,6,5,28,0.43,1,0,0,1,1,1,0,1,1,1,1,0,KABUPATEN TELUK WONDAMA,630000
1159,Arri Mosedale,+62 834-1787-708,1,5,2,2,25,0.14,0,0,1,0,1,1,0,1,0,1,0,0,KABUPATEN REMBANG,950000
1160,Cirilo Nickoles,+62 821-1897-0691,1,2,2,1,26,0.14,0,1,0,0,1,1,1,0,0,1,0,0,KABUPATEN PEKALONGAN,1940000
1161,Lewes Perkinson,+62 861-1344-9209,1,5,3,0,29,1,1,0,0,0,0,1,0,0,1,0,1,0,KABUPATEN BENGKALIS,1880000
1162,Willy Pocock,+62 880-6810-657,1,2,16,4,36,0.29,0,0,0,1,1,0,0,0,0,1,1,0,KABUPATEN CIANJUR,1590000
1163,Gavan Maydway,+62 893-4658-0575,1,3,12,4,35,0.43,1,0,0,0,0,1,0,1,1,0,1,1,KABUPATEN BANGLI,1960000
1164,Morris Backsal,+62 875-9859-54494,1,5,0,0,32,0.29,1,0,1,0,0,0,1,1,1,1,0,1,KABUPATEN LABUHANBATU UTARA,940000
1165,Wittie Burchess,+62 837-327-556,1,5,4,4,27,0.71,1,0,1,0,0,0,1,0,0,1,0,1,KABUPATEN HALMAHERA BARAT,1390000
1166,Mychal O'Kane,+62 888-5251-34142,1,5,13,8,36,0.43,1,0,0,0,0,0,0,0,0,1,0,1,KABUPATEN LEMBATA,620000
1167,Gustavo Duferie,+62 892-8386-6385,1,5,17,14,39,0.57,1,1,1,1,1,0,1,1,0,1,1,1,KABUPATEN TEMANGGUNG,580000
1168,Dewitt Weavill,+62 822-8447-01375,1,5,0,0,34,0.86,1,1,0,1,0,1,0,1,0,0,0,0,KABUPATEN KEPULAUAN YAPEN,1890000
